Iteration,Error_1,Error_2,Error_3,Error_Mean,Loss_1,Loss_2,Loss_3,Loss_Mean,Score,Features_n,Alpha,Lambda,Lambda_bias,Coef1_1,Coef2_1,Coef3_1,Coef4_1,Rési1_1,Rési2_1,Rési3_1,Rési4_1,Coef1_2,Coef2_2,Coef3_2,Coef4_2,Rési1_2,Rési2_2,Rési3_2,Rési4_2,Coef1_3,Coef2_3,Coef3_3,Coef4_3,Rési1_3,Rési2_3,Rési3_3,Rési4_3,Coef1_4,Coef2_4,Coef3_4,Coef4_4,Rési1_4,Rési2_4,Rési3_4,Rési4_4,PosInitiale_1,PosInitiale_2,PosInitiale_3,PosInitiale_4,Logging
62,0.509615,0.462264,0.5,0.490626333333333,1.542037,1.206265,1.684516,1.477606,0.724952413891333,10,2.69986240880968,1.14922073567414,1.22901959069469,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1
63,0.403846,0.632075,0.634615,0.556845333333333,1.336184,1.544934,1.458505,1.446541,0.805499605325334,9,1.64419697727692,0.0367668195462679,1.99654392854413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
64,0.471154,0.481132,0.442308,0.464864666666667,1.713614,1.433144,1.216514,1.454424,0.676110327952,7,1.64764599436904,2.28692204113243,0.223223378235403,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
65,0.634615,0.726415,0.605769,0.655599666666667,1.683176,1.625897,1.563439,1.62417066666667,1.06480574767644,8,1.4487942267814,1.45812525940467,0.384010092292082,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
66,0.519231,0.54717,0.490385,0.518928666666667,1.69967,1.713424,1.277884,1.56365933333333,0.811427652967556,7,1.45830961300034,1.55989527297743,1.57671878189649,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
67,0.490385,0.490566,0.442308,0.474419666666667,1.308535,1.238207,1.251138,1.26596,0.600596321213333,10,0.419533601507372,1.78269769776364,2.62544730346494,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1
68,0.490385,0.537736,0.548077,0.525399333333333,1.292015,1.459432,1.525059,1.425502,0.748957800465333,10,2.58419214220344,0.827331436053798,0.499303403997295,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
69,0.596154,0.537736,0.605769,0.579886333333333,1.441005,1.579094,1.536018,1.51870566666667,0.880676660455889,9,1.90967044630293,1.5436578591535,1.02538286758781,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
70,0.528846,0.40566,0.461538,0.465348,1.611802,1.470679,1.537292,1.53992433333333,0.716600708668,7,2.16758696392551,0.468956893998461,1.49479576711316,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
71,0.509615,0.424528,0.423077,0.452406666666667,1.287696,1.152946,1.115,1.185214,0.536198715026667,13,0.92317422927769,1.95367979197183,1.13805270871174,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
